what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459783992353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459784081291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459784095386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459784098379
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459784133217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459784216289
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1459784227457
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1459784239311
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1459784258208
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1459784263642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459784263906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459784265365
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1459784276770
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1459784283991
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1459784288535
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1459784288599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459784320320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459784364000
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1459784367471
started,bundle,org.eclipse.m2e.editor,1.3.1.20130219-1424,"org.eclipse.m2e.editor",1459784391382
started,bundle,org.eclipse.m2e.core.ui,1.3.1.20130219-1424,"org.eclipse.m2e.core.ui",1459784392267
started,bundle,org.eclipse.jst.jee,1.0.402.v201202021530,"org.eclipse.jst.jee",1459784402500
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1459784405000
